|KegiatanPengiriman|,"Kapan ada pos kargo kakak, supaya pengiriman di atas 10kg bisa lebih murah seperti rival rival sebelah",
|KegiatanPengiriman|,Cek resi sampai mana 17986231457,
|KegiatanPengiriman|,Dear kantor pos.Mau nanya bisa kah pengiriman paket ke pakistan dan biaya perkg nya...Dan kira² berapa hari sampai.Mohon di jawab.please dan Terimakasih  jawabannya.,
|KegiatanPengiriman|,Maaf paket saya 27 hari kok lum sampai ..brendingnya 10 pek 14 hari..??,
|KegiatanPengiriman|,"Tolong di cek paket dgn nmr resi 18257810714.Update terakhir yg bisa dilacak tgl 1 feb, selanjut nya ntah nyangkut dimana sampai ini. Krn blm ada kabar berita nya....",
|KegiatanPengiriman|,"Mantap Pos Indonesia postingannya kekininan sekali, semoga kedepan bisa lebih bagus lagi , salam buat adminnya",
|KegiatanPengiriman|,"Apabila dana cod blm dibayarkan pak pos, apakah akan menunda kupon undian yg akan saya dapatkan juga?trimakasih",
|LayananPosIndonesia|,"bagus informasinya tapi alangkah lebih bagusnya informasi seputar program dan layanan pos, ok lah kalau kantor pos dalam kota sementara untuk pos yang berada dipelosok bahkan dikawasan tertentu untuk 3 wilayah kecamatan hanya dilayani oleh satu kantor pos dan hanya 2 orang petugas. Terima kasih, salam pelanggan Pos Garut selatan.",
|LayananPosIndonesia|,"Kalo paket di tahan beacukai gimana solusinya pak pos,,,,apakah sampai disitu aja,,, soalnya barang saya di tahan beacukai tapi aku tidak pernah di hubungi untuk bagaimana kelanjutannya",
|LayananPosIndonesia|,17667710957 no resi ini barang udh di terima tapi stts gagal antar si gmn ya..udh berkali2 di peringati ttp sama kaya gini kinerjanya,
|KegiatanPengiriman|,"Kalo boleh saran Untuk ongkir COD jangan bayar dimuka, karna sebagai pebisnis online kadang ada barang yang tidak terkirim ke customer dan itu menyebabakan retur, kalo sistemnya seperti logistik² swasta saya yakin pelaku usaha online akan beralih ke pos indonesia",
|KegiatanPengiriman|,Nomer resi 18306176992 status gagal antar dari tanggal 2 februari padahal gak kemana mana dirumah terus,
|KegiatanPengiriman|,18300299696 belum sampai dr tgl 30 Januari tujuan lumajang,
|KegiatanPengiriman|,18300299696 belum sampai dr tgl 30 Januari tujuan lumajang,
|KegiatanPengiriman|,18300299696 belum sampai dr tgl 30 Januari tujuan lumajang,
|KegiatanPengiriman|,"Pos kirim 9 hari belum nyampek,",
